term,subculture,similarity,specificity,contextual_relevance,seed_closeness,subculture_relevance,uniqueness,normalized_specificity,normalized_similarity,normalized_contextual_relevance,normalized_seed_closeness,normalized_subculture_relevance,combined_score,cooccurrence_count,frequency
furry,furry,0.027372219833208283,94346292721.27953,0.0013624391595557636,0.08603806391516675,1.0,0.5,0.9999999577048777,0.02075515101695999,0.039135346168709555,1.0000000000000002,1.0,0.8491997295766487,,
uwu,furry,0.10228203647499784,94346263875.2202,0.0002637516826256997,0.07274777784455953,1.0,0.5,0.9999996518912733,0.08399165834575105,0.006485399181521814,0.8455239866135682,1.0,0.8233311358653572,,
cat,furry,0.050083896320791896,94346296710.79338,0.003214202711340622,0.07424708242510307,1.0,0.5,1.0000000000000002,0.03992763282296942,0.09416462707716088,0.8629507442637743,1.0,0.812310368281673,,
fox,furry,0.007710384778409763,94346289104.07408,0.0008949551405403009,0.07358988073545088,1.0,0.5,0.9999999193568101,0.004157249269505589,0.025243016676740754,0.8553119397663435,1.0,0.8119272545356997,,
dragon,furry,0.013283971712796166,94346291109.42595,0.0011051895727722902,0.0734773418027498,1.0,0.5,0.9999999406166944,0.008862295775084112,0.03149060137337865,0.8540038741925802,1.0,0.8116812409004086,,
dog,furry,0.03871797699896375,94346296400.71646,0.0029071037231000792,0.07382551246818021,1.0,0.5,0.9999999967126971,0.030332881791470125,0.08503849621974058,0.8580507409107271,1.0,0.8105587672169676,,
furry furryart,furry,0.008232486145464173,94346259822.36504,0.0002369096972257391,0.021311500100823964,0.5,0.5,0.9999996089246332,0.004597990795839665,0.005687729763473677,0.24766844858552217,0.5,0.5120379595743358,,
cat dog,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,214.0
dog food,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,183.0
furryart nsfw,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,186.0
dog cat,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,186.0
love cat,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,187.0
christmas vacation,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,190.0
love dogs,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,195.0
notre dame cathedral,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,209.0
cat food,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,212.0
department education,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,220.0
dame cathedral,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,215.0
furryart art,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,217.0
dungeons dragons,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,258.0
dog walk,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,220.0
cat cat,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,227.0
cat cats,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,250.0
happy caturday,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,1788.0
love dog,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,181.0
time catch,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,183.0
adjudicated rapist,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,222.0
public education,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,267.0
furry art,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,481.0
cats catsofbluesky,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,351.0
dog shit,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,235.0
dogs cats,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,286.0
art furryart,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,288.0
black cat,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,295.0
dragon age veilguard,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,296.0
dog dog,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,302.0
art furry,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,308.0
catholic church,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,276.0
furryart furry,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,394.0
national dog,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,403.0
hot dog,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,270.0
cats dogs,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,484.0
dragon quest,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,506.0
dragon ball,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,680.0
dragon age,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,1145.0
fox news,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,1471.0
love cats,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,276.0
furryart,furry,0.017419616187803532,64160559440.20249,0.0006185327070425701,0.03019481748319402,0.5,0.5,0.6799837020681887,0.012353476555884244,0.01702850801137546,0.35092126403167023,0.5,0.4738772271038004,,
artist,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,595.0,
beautiful,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,589.0,
person,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,573.0,
bit,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,584.0,
draw,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,579.0,
play,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,654.0,
lot,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,612.0,
watch,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,627.0,
feel,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,614.0,
walk,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,618.0,
stuff,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,626.0,
friend,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,627.0,
friday,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,634.0,
christmas,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,640.0,
bluesky,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,460.0,
hot,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,643.0,
morning,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,995.0,
drawing,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,722.0,
fun,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,670.0,
friends,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,913.0,
black,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,982.0,
night,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,663.0,
shit,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,685.0,
bed,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,694.0,
watching,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,696.0,
bad,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,709.0,
commission,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,715.0,
family,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,716.0,
hope,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,741.0,
pet,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,749.0,
life,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,756.0,
house,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,777.0,
digitalart,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,872.0,
ball,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,877.0,
lol,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,907.0,
girl,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,653.0,
dogs,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1249.0,
quest,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,654.0,
days,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,464.0,
happy,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1720.0,
funny,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,400.0,
age,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1377.0,
nsfw,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1418.0,
cute,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1489.0,
people,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1571.0,
playing,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,564.0,
thanksgiving,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1686.0,
cats,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1863.0,
news,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1961.0,
day,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1985.0,
time,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,2163.0,
love,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,2882.0,
art,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,4318.0,
post,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1158.0,
furryfandom,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,558.0,
national,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,553.0,
food,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,998.0,
game,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1086.0,
gay,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,558.0,
pretty,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,552.0,
furryartist,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,549.0,
nice,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,548.0,
character,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,538.0,
live,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,532.0,
turkey,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,524.0,
real,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,520.0,
sketch,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,513.0,
favorite,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,511.0,
picture,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,499.0,
games,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,490.0,
named,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,482.0,
guy,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,480.0,
eat,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,477.0,
baby,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,459.0,
anime,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,311.0,
kitty,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,448.0,
hard,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,397.0,
weird,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,353.0,
start,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,405.0,
ass,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,443.0,
cool,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,441.0,
pics,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,440.0,
human,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,437.0,
fursuitfriday,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,436.0,
white,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,433.0,
trump,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,432.0,
yeah,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,431.0,
catsofbluesky,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,424.0,
red,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,421.0,
sleep,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,415.0,
caturday,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,412.0,
blue,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,412.0,
tree,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,405.0,
sweet,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,359.0,
likes,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,327.0,
pic,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,362.0,
boy,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,569.0,
follow,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,371.0,
media,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,397.0,
head,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,393.0,
loves,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,388.0,
wanna,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,386.0,
left,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,377.0,
veilguard,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,373.0,
super,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,372.0,
enjoy,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,370.0,
gonna,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,566.0,
animals,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,368.0,
animal,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,368.0,
read,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,367.0,
finally,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,366.0,
video,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,412.0,
photo,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,406.0,
week,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,358.0,
lady,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,348.0,
called,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,327.0,
thankful,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,343.0,
book,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,342.0,
puppy,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,342.0,
pictures,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,342.0,
wait,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,342.0,
mom,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,341.0,
lap,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,341.0,
lost,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,340.0,
walking,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,339.0,
feed,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,338.0,
pokemon,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,337.0,
god,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,335.0,
pets,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,331.0,
fuck,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,331.0,
artwork,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,346.0,
silly,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,327.0,
guess,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,325.0,
check,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,307.0,
fucking,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,453.0,
fantasy,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,326.0,
absolutely,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,325.0,
amazing,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,324.0,
eyes,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,323.0,
orange,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,323.0,
story,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,323.0,
vtuber,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,321.0,
hair,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,320.0,
care,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,319.0,
mind,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,314.0,
adorable,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,312.0,
times,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,311.0,
characters,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,310.0,
idea,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,309.0,
education,furry,0.004725452524520385,603557173.2675929,0.0010685110834058845,0.00019353853759997985,0.5,0.5,0.006179501402722917,0.0016374634949437054,0.030400618317660697,0.0022095851868281727,0.5,0.24899385426972712,,
wordle,furry,0.7660091559656339,166918929.95787495,0.000848106706395028,3.7332469815941286e-05,0.0,0.5,0.0015504491815746934,0.6442891832574914,0.023850811046482824,0.0003939665846511203,0.0,0.19466687786645315,,
wow,furry,0.7711605941673412,729278769.3919429,0.0037960569290167866,0.0003728527369485211,0.0,0.5,0.007512348084622275,0.6486378651018726,0.11145572191559568,0.004293794850320918,0.0,0.18872602590322599,,
yep,furry,0.5680443502650001,504785191.7710721,0.0016203556279640804,0.0001936979676434348,0.0,0.5,0.00513236302824626,0.47717353076039076,0.04679990883778079,0.0022114382784317777,0.0,0.1684753709055377,,
yup,furry,0.504292823933675,401736578.74779207,0.001017994800323971,0.0001192061479043908,0.0,0.5,0.004039885632345557,0.4233565005926322,0.02889941438183097,0.001345602939594524,0.0,0.1617579115120795,,
thanksgiving happy,furry,0.446768563711111,1254233300.6165054,0.00011286971500480321,4.5097889022577254e-05,0.0,0.5,0.013077691881233325,0.37479633229663684,0.0020016052477729663,0.00048422581571225774,0.0,0.15875588414989297,,
truth,furry,0.41129896925433,796025237.1121678,0.0022723991366550484,0.0003931519129034317,0.0,0.5,0.008219965636195611,0.3448540180530828,0.06617683488738492,0.004529736782637883,0.0,0.14788684654212253,,
agreed,furry,0.3525256095678734,578247226.2977209,0.0011968857961883047,0.00019510300780869812,0.0,0.5,0.005911176151709747,0.2952393993399872,0.03421555901267353,0.0022277693793745714,0.0,0.14260353157491631,,
true,furry,0.4449839442150708,777663914.2278982,0.005622979140276215,0.0004633494935903881,0.0,0.5,0.008025306730836379,0.3732898127388584,0.16574678702721984,0.005345659205698109,0.0,0.1423602693556986,,
nope,furry,0.2882128664116544,863241025.6657829,0.001056840654971119,0.00028447815784644155,0.0,0.5,0.00893255872685542,0.24094860760863876,0.030053805527204987,0.0032665970464613504,0.0,0.13574007159556176,,
congrats,furry,0.2738539515372542,651368741.2014596,0.0012315636406801792,0.00027676683608648673,0.0,0.5,0.006686379231525136,0.2288272640198474,0.0352460884471705,0.003176966602309185,0.0,0.13293099825514237,,
hun,furry,0.24516948230364627,801582426.2246757,0.00019622991811027088,0.00014881182538376396,0.0,0.5,0.00827888058237532,0.2046127387382354,0.004478839465313767,0.001689716452751512,0.0,0.13232223209386687,,
