term,subculture,similarity,specificity,contextual_relevance,seed_closeness,subculture_relevance,uniqueness,normalized_specificity,normalized_similarity,normalized_contextual_relevance,normalized_seed_closeness,normalized_subculture_relevance,combined_score,cooccurrence_count,frequency
manga,weeb,0.006906034812341105,384836695374.25653,0.0004738193944514782,0.2179147398918365,1.0,0.5,0.9999998580831523,0.0034782423675471866,0.014061580022858726,0.9930901489455566,1.0,0.8473880872058659,,
anime,weeb,0.015896446604219877,384836749989.07495,0.0014464662442860749,0.21943097524752816,1.0,0.5,1.0,0.011067664777758146,0.04292690650187273,1.0,1.0,0.8473674590664766,,
channel telegram,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,371.0
kung fu,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,184.0
favorite anime,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,184.0
forge phonewallpaper waifu,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,188.0
phonewallpaper waifu aigirl,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,188.0
phonewallpaper waifu,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,189.0
waifu aigirl,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,206.0
stand chance,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,208.0
hentai nsfw,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,217.0
change time,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,220.0
chance win,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,228.0
post anime love,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,270.0
changed mind,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,277.0
life changing,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,279.0
changed life,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,372.0
change life,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,281.0
master base chance,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,331.0
people change,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,349.0
anime manga,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,351.0
channel telegram tmemrkinggoldpro110,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,357.0
everyday channel telegram,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,362.0
everyday channel,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,364.0
signals everyday channel,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,364.0
mythic base chance,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,365.0
base chance,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,4533.0
telegram channel,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,183.0
exotic base chance,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,274.0
post anime,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,292.0
time change,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,378.0
rope bskyhentai,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,535.0
anime love,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,380.0
game changer,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,481.0
hentaicommunity waifu gooning,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,489.0
goonsky goon hentaicommunity,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,489.0
hentaicommunity waifu,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,491.0
goon hentaicommunity waifu,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,491.0
hentaiart rule34 r34,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,529.0
gooner hentaiart rule34,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,533.0
