term,specificity,similarity,contextual_relevance,seed_closeness,subculture_relevance,uniqueness,normalized_specificity,normalized_similarity,normalized_contextual_relevance,normalized_seed_closeness,normalized_subculture_relevance,combined_score
furry,733977674957.825,0.009800117377429344,0.0013624391595557636,1.0,1.0,0.5,1.0000000000000002,0.0028460143241216297,0.0351965534738874,1.0,1.0,0.8469072468012295
agreed,511197706.8576403,2.0917997341682883,0.0011968857961883047,0.0003258178026847387,0.0,0.5,0.0006408538968996204,1.0,0.030256599042852734,0.00028757033043477445,0.0,0.24717440345770336
yep,75519876.89400464,1.3925865888001856,0.0016203556279640804,5.5897149245388485e-05,0.0,0.5,4.7236277509045135e-05,0.6651184903600257,0.04289253484831903,1.7639349847953638e-05,0.0,0.19549237716213577
beautiful,758595963.1827033,1.4575721164188893,0.006775017147193778,0.000861238132343593,0.0,0.5,0.0009779377553399754,0.6962426929552799,0.19670271722367597,0.0008230111452422555,0.0,0.18516747255830296
nice,790150217.4930717,1.3356738953289928,0.008517745553316686,0.000928944212677555,0.0,0.5,0.001020930903113708,0.63786069517473,0.24870407036325828,0.0008907198160066547,0.0,0.17123556337450807
ty,1129848211.0738504,0.6690489203301558,0.0008664459510782309,0.0005987575780255969,0.0,0.5,0.0014837745467253366,0.31858698090010035,0.0203965892922881,0.00056052054843452,0.0,0.14618527325223993
nope,1389451319.2238126,0.6139039300395426,0.001056840654971119,0.0008276432857438444,0.0,0.5,0.0018374876999955802,0.29217581040089546,0.026077785626871765,0.0007894150133057582,0.0,0.1417834442907727
wow,644716684.5227156,0.7017748188061462,0.0037960569290167866,0.0006468096115908283,0.0,0.5,0.0008227755192865589,0.33426073983693305,0.1078133861323092,0.0006085744204675773,0.0,0.13967447107128325
congratulations,304207930.044004,0.4810178009155687,0.001609018640341737,0.00022447948818676692,0.0,0.5,0.000358827201713976,0.22853125819811726,0.04255424995273962,0.00018622813873917104,0.0,0.13014258620947122
gorgeous,577631970.357109,0.4727424342874105,0.0019066145654282564,0.00045920710240318386,0.0,0.5,0.0007313715836678738,0.22456784977592154,0.05143422846169919,0.0004209647336195592,0.0,0.12879327012035677
selfie,1279449623.9275365,0.41251536938021394,0.0005738516381780394,0.0005168849069607167,0.0,0.5,0.0016876087298029654,0.1957226678011337,0.011665854119613558,0.0004786447449263195,0.0,0.1286489976904009
yup,120205970.64032382,0.35467569475773497,0.001017994800323971,7.004272606289837e-05,0.0,0.5,0.00010812175472455578,0.16802090377828546,0.024918662381724657,3.1785467874355796e-05,0.0,0.12274084004648386
digitalart,50821196524.914536,0.009190759931302752,0.001023329853322721,0.030608570399711918,0.0,0.5,0.06918898665915263,0.0025541683500849097,0.025077855273762027,0.030571481543699357,0.0,0.1193560074428919
lol,1162204789.8012214,0.8070409744897495,0.01347717747687338,0.0014401278113432567,0.0,0.5,0.0015278608736274167,0.3846769675106323,0.3966887878456227,0.0014019229725251577,0.0,0.11868871925988936
yay,628136641.879961,0.27525216414279974,0.0011688767679448675,0.000395335046451868,0.0,0.5,0.0008001849609287749,0.1299817564746919,0.029420836359656543,0.0003570902339273415,0.0,0.11680448938590572
energy,628360731.1883361,0.31117513980829076,0.0023369199338586803,0.0005411011408215718,0.0,0.5,0.0008004902859938113,0.14718672523323334,0.06427413016008836,0.0005028619052987812,0.0,0.11593640930249964
birthday,1223756728.8612566,0.3338861445603705,0.0030998325126799205,0.0011595720804967458,0.0,0.5,0.001611726319653765,0.15806394573058707,0.08703871372143235,0.0011213565076337738,0.0,0.11560840487828403
phone,620195651.7903494,0.29852071580035605,0.00256499344955524,0.0005521576622494053,0.0,0.5,0.0007893652420713961,0.14112600877863843,0.07107962629468595,0.0005139188497484392,0.0,0.11434729144817855
nsfw,39387109158.11042,0.03228207033241771,0.0028427496463026584,0.03764192858318249,0.0,0.5,0.05360987003723813,0.013613532633946646,0.07936760623638156,0.037605108823018096,0.0,0.114228520484656
gif,3325378982.6331153,0.2125619135300705,0.0009199632014719411,0.0018294914013904135,0.0,0.5,0.004475218362033876,0.0999568550494665,0.02199349299053797,0.0017913014595991364,0.0,0.11413704799567274
commission,38343623035.01505,0.008805442487586752,0.0012127242347783436,0.025222354971458916,0.0,0.5,0.052188104444275386,0.002369624212010534,0.03072920294108868,0.025185060039177913,0.0,0.11401640923634228
youuu,669076871.0240917,0.19438513433219395,0.00018289228561339606,0.00010789814415192059,0.0,0.5,0.0008559666410842054,0.091251258911149,0.0,6.964233430932777e-05,0.0,0.11387629274846653
gift,3424855606.2956944,0.24673715160739798,0.0019651334280082946,0.0027632636655948555,0.0,0.5,0.0046107567632615015,0.11632476145319391,0.0531803754962341,0.0027251094498725306,0.0,0.11373410538347611
