term,specificity,similarity,contextual_relevance,seed_closeness,subculture_relevance,uniqueness,normalized_specificity,normalized_similarity,normalized_contextual_relevance,normalized_seed_closeness,normalized_subculture_relevance,combined_score
manga,456647486418.20795,0.007117706865599231,0.0004738193944514782,0.35893479413686546,1.0,0.5,0.9999998580831523,0.001561299230267241,0.007985144842761348,0.9969572063060823,1.0,0.848674953593415
anime,456647551224.18896,0.015603065029632893,0.0014464662442860749,0.36003029203910136,1.0,0.5,1.0,0.00562528110851341,0.037028371159887094,1.0,1.0,0.8471409550502884
chance blocks,0.0,0.219135304266142,0.000755410160541748,0.0,0.5,0.5,0.0,0.10310511824750772,0.016393442622950817,0.0,0.5,0.2638264234748311
base chance,0.0,0.2191213722265374,0.0007557436013541698,0.0,0.5,0.5,0.0,0.10309844562917087,0.016403399162655014,0.0,0.5,0.26382442692811015
agreed,445261570.2030371,2.0917997341682883,0.0011968857961883047,0.0001876041995737066,0.0,0.5,0.0009750661511473606,1.0,0.029575901191299978,0.0005210789306399021,0.0,0.24736769284375945
yep,375880279.5449141,1.3925865888001856,0.0016203556279640804,0.00019757069068256162,0.0,0.5,0.0008231299577480434,0.6651184903600257,0.042220706615622806,0.0005487612988439992,0.0,0.19584751920870216
beautiful,831555494.450577,1.4575721164188893,0.006775017147193778,0.0005423799033298556,0.0,0.5,0.0018210006650015492,0.6962426929552799,0.19613885390271465,0.0015064840801533167,0.0,0.18556333970605915
nice,1045757810.9151062,1.3356738953289928,0.008517745553316686,0.0007121286619952153,0.0,0.5,0.0022900764673140584,0.63786069517473,0.24817670866667002,0.0019779687369135984,0.0,0.1718139408872337
ty,615072678.5902982,0.6690489203301558,0.0008664459510782309,0.0003026933049729659,0.0,0.5,0.0013469308593496239,0.31858698090010035,0.01970897034444649,0.0008407439920085716,0.0,0.1462967222704425
nope,504264517.604866,0.6139039300395426,0.001056840654971119,0.00026068804075275715,0.0,0.5,0.0011042750941136653,0.29217581040089546,0.02539415451553967,0.0007240725197768773,0.0,0.14168882925734733
wow,982727874.1913284,0.7017748188061462,0.0037960569290167866,0.000567348520629651,0.0,0.5,0.002152048930420877,0.33426073983693305,0.10718712818547042,0.0015758355148850465,0.0,0.14024476682179834
amen,468196332.0420147,0.5557294663261656,0.00048782390857319673,8.621432882145013e-05,0.0,0.5,0.0010252903596808208,0.26431370231570567,0.008403319510337378,0.00023946409712682386,0.0,0.13907164749253997
tags,61560968260.01428,0.012239875463170314,0.0003611163998528859,0.009837907104598132,0.0,0.5,0.13481068297635787,0.004014513338079874,0.004619834422744719,0.027325220466531405,0.0,0.13393363527034194
congratulations,283896521.239391,0.4810178009155687,0.001609018640341737,0.00017102937525947695,0.0,0.5,0.000621697237789442,0.22853125819811726,0.04188218426568031,0.00047504162577770585,0.0,0.13033457015715189
selfie,2122707743.0246575,0.41251536938021394,0.0005738516381780394,0.000813611471898965,0.0,0.5,0.004648459708880655,0.1957226678011337,0.01097210675401871,0.0022598417130150874,0.0,0.12975584186479808
