term,specificity,similarity,contextual_relevance,seed_closeness,subculture_relevance,uniqueness,normalized_specificity,normalized_similarity,normalized_contextual_relevance,normalized_seed_closeness,normalized_subculture_relevance,combined_score
furry,410460929292.7767,0.019511581504053906,0.0013624391595557636,0.1296599848953832,1.0,0.5,0.9999999999999999,0.011138479983021454,0.03834920886782068,1.0000000000000002,1.0,0.8478358511106712
furryart,271722898478.05457,0.012105553336771765,0.0006185327070425701,0.04390581541463956,0.5,0.5,0.6619757371086457,0.006020179505267731,0.016224283865465382,0.33860102545637893,0.5,0.4663260023250675
yep,295629852.7232356,1.4503647138315385,0.0016203556279640804,6.764797090187326e-05,0.0,0.5,0.0006646181104413767,1.0,0.04602004234577756,0.0004889643318119879,0.0,0.2456531604704635
agreed,628927451.7874086,1.081235579623199,0.0011968857961883047,0.0001160896794022744,0.0,0.5,0.0014766714067547771,0.7448951338967561,0.03342539655779405,0.0008625822739051808,0.0,0.20890271027856128
absolutely,1396974189.1665092,1.0893356420983251,0.005486435127589459,0.00037175221975101365,0.0,0.5,0.003347956668222758,0.7504930809609364,0.16100320816371053,0.002834439071536976,0.0,0.1978518424292982
beautiful,767650969.6939903,1.1113583579206134,0.006775017147193778,0.00021814124312758226,0.0,0.5,0.0018146603100908044,0.7657129632471819,0.19932762442171234,0.0016496786915743912,0.0,0.1956995337798178
precisely,1078268153.6836507,0.8876599039879828,0.00019039470389288813,3.579994988007017e-05,0.0,0.5,0.0025714545650107863,0.6111151305391911,0.003490799462496218,0.00024332906331586777,0.0,0.19189331281346017
wordle,80688207.39578836,0.8282382587449602,0.000848106706395028,1.897065240073606e-05,0.0,0.5,0.00014092975476986562,0.570048876351842,0.023052168609580856,0.00011352919279621213,0.0,0.18325868284097122
thanksgiving happy,606293346.7665346,0.4621164297704616,0.00011286971500480321,1.2557765722322683e-05,0.0,0.5,0.0014215251961522653,0.31702235662636635,0.0011850867493417559,6.406831295036983e-05,0.0,0.14773516693648883
nope,1100778616.482179,0.45579731685272823,0.001056840654971119,0.00018093217206329774,0.0,0.5,0.002626299531096382,0.31265522245737987,0.0292602381082247,0.0013626950778952362,0.0,0.14483819323347757
yup,268890218.86614007,0.43006036608792775,0.001017994800323971,5.351638038041325e-05,0.0,0.5,0.0005994691028372535,0.29486843520515904,0.02810490249066558,0.00037997115356585236,0.0,0.1416346616406662
congrats,722348996.7762741,0.2939594969916842,0.0012315636406801792,0.00017302874387598626,0.0,0.5,0.0017042856283030461,0.20080922727567588,0.03445676912625884,0.0013017380500315266,0.0,0.12734199881689398
wow,540815514.8757577,0.3651848509840201,0.0037960569290167866,0.00012773284073701915,0.0,0.5,0.00126199362625301,0.25003301567249125,0.11072875397301571,0.0009523828633561153,0.0,0.12692257139466173
