term,specificity,similarity,contextual_relevance,seed_closeness,subculture_relevance,uniqueness,normalized_specificity,normalized_similarity,normalized_contextual_relevance,normalized_seed_closeness,normalized_subculture_relevance,combined_score
manga,422935039775.995,0.008175668088608331,0.0004738193944514782,0.2702803236371844,1.0,0.5,0.999999858083152,0.00330423877578847,0.014061580022858726,0.9953659432674932,1.0,0.8479309352475861
anime,422935099797.61127,0.01759593998141475,0.0014464662442860749,0.27153864914237846,1.0,0.5,1.0,0.009814581572285725,0.04292690650187273,1.0,1.0,0.8471794965856556
base chance blocks,0.0,0.16739035345032902,0.0,0.0,0.5,0.5,0.0,0.11333738768445083,0.0,0.0,0.5,0.26700060815266763
chance blocks mined,0.0,0.16739035345032902,0.0,0.0,0.5,0.5,0.0,0.11333738768445083,0.0,0.0,0.5,0.26700060815266763
chance blocks,0.0,0.16739035345032902,0.000755410160541748,0.0,0.5,0.5,0.0,0.11333738768445083,0.02241837406177793,0.0,0.5,0.2647587707464898
base chance,0.0,0.16737272372566078,0.0007557436013541698,0.0,0.5,0.5,0.0,0.11332520379503616,0.022428269614221886,0.0,0.5,0.2647559536078332
channel,2825689571.839825,0.0076096343866684235,0.0009981550719848698,0.000795287976455549,0.5,0.5,0.006681142267908275,0.0029130533115118836,0.02962233624097649,0.002928820552681427,0.5,0.24954315796438115
yep,348130550.82657224,1.4503647138315385,0.0016203556279640804,0.00014817801801192122,0.0,0.5,0.0008231299577480433,1.0,0.04808743710139478,0.0005456977063115079,0.0,0.24549230670798802
agreed,412389699.94478154,1.081235579623199,0.0011968857961883047,0.00014070314968027994,0.0,0.5,0.0009750661511473603,0.7448951338967561,0.035520085497573115,0.000518169881616019,0.0,0.20850681723538958
absolutely,1053867750.9694105,1.0893356420983251,0.005486435127589459,0.0005909161365732919,0.0,0.5,0.0024917954349821564,0.7504930809609364,0.16282141991282018,0.0021761769031393065,0.0,0.1973342234656397
beautiful,853426189.6578865,1.1113583579206134,0.006775017147193778,0.0004546983001196906,0.0,0.5,0.0020178656017584727,0.7657129632471819,0.20106278233248065,0.0016745251608041782,0.0,0.19557287066438195
boobs,63569334468.8318,0.011312337919019168,0.0006555446372213977,0.032059822405131694,0.0,0.5,0.15030517566229873,0.0054719889286263465,0.01945465610481369,0.11806725306466949,0.0,0.1584531811274397
yeah yeah,907584945.6252507,0.5279072501603045,7.769170929429586e-05,8.468834688346883e-05,0.0,0.5,0.0021459201330406505,0.36249034295144644,0.0023056637194412972,0.00031188321497122636,0.0,0.15465013990112378
nude,54666317241.03111,0.012822481201465239,0.0007739161256311618,0.027784671051628393,0.0,0.5,0.12925462385881614,0.006515647811557224,0.022967577222417383,0.10232308048737397,0.0,0.15011228434309856
pet,50203536373.79344,0.009144816864259456,0.0007710818787255759,0.026031071883136542,0.0,0.5,0.11870269551479064,0.003974016763312645,0.022883465026643773,0.09586507101420919,0.0,0.14601456286834294
nope,467036697.13297945,0.45579731685272823,0.001056840654971119,0.00019551603056456785,0.0,0.5,0.0011042750941136648,0.31265522245737987,0.031363953471112406,0.0007200302099980289,0.0,0.14416275059281797
yup,623389418.1818175,0.43006036608792775,0.001017994800323971,0.00018765874120659444,0.0,0.5,0.0014739599964158341,0.29486843520515904,0.030211121611391757,0.0006910940368867989,0.0,0.14167671862813955
cum,40851303581.3694,0.017050591279303355,0.0010511721611599473,0.022093327409293328,0.0,0.5,0.0965900054190776,0.009437691495781539,0.03119572907956519,0.08136347248935795,0.0,0.13795495002256572
pussy,40586468697.71541,0.013411889902221233,0.0009954875454854949,0.021423859232789534,0.0,0.5,0.09596382214939693,0.0069229877198766256,0.02954317182142486,0.07889801065319492,0.0,0.13700139806901715
porn,32492662313.446224,0.01957186267301402,0.0015950141262200182,0.017766982821146873,0.0,0.5,0.07682659190262303,0.01118014025340108,0.04733537511565426,0.06543076971643526,0.0,0.12866649433607816
congrats,858809587.171037,0.2939594969916842,0.0012315636406801792,0.00028256417069316155,0.0,0.5,0.002030594262765153,0.20080922727567588,0.036549222951744335,0.0010406038756751786,0.0,0.12713273161764876
wow,910177029.1568959,0.3651848509840201,0.0037960569290167866,0.0004464494139228245,0.0,0.5,0.0021520489304208763,0.25003301567249125,0.11265591679819505,0.0016441468473562797,0.0,0.1270808071689774
yeah,1170137692.7032592,0.5158281784023128,0.010123596505940415,0.0006471687501078297,0.0,0.5,0.0027667074529004795,0.3541425055744738,0.30043886775088935,0.002383339359431274,0.0,0.12422666539152004
job,883530733.5082552,0.33632306329598594,0.003830734773508661,0.0004294658296938339,0.0,0.5,0.002089045657196706,0.2300866559806535,0.11368505425236626,0.001581601112954819,0.0,0.12395770238153944
