term,subculture,similarity,specificity,contextual_relevance,seed_closeness,subculture_relevance,uniqueness,normalized_specificity,normalized_similarity,normalized_contextual_relevance,normalized_seed_closeness,normalized_subculture_relevance,combined_score,cooccurrence_count,frequency
furry,furry,0.0194883304849391,410460929292.7767,0.0013624391595557636,0.1296599848953832,1.0,0.5,0.9999999999999999,0.011146882014574628,0.038344440477607204,1.0000000000000002,1.0,0.8478375882544256,,
furryart,furry,0.012095924852941482,271722898478.05457,0.0006185327070425701,0.04390581541463956,0.7,0.5,0.6619757371086457,0.0060229596326388316,0.01621940576778135,0.33860102545637893,0.7,0.5263269071539416,,
furryart art,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,218.0
art furry,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,308.0
furryart furry,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,394.0
furry art,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,482.0
furry furryart,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,1421.0
furryart nsfw,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,186.0
art furryart,furry,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,288.0
time,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,484.0,
post,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,368.0,
nsfw,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1266.0,
digitalart,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,663.0,
love,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,630.0,
commission,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,590.0,
furryfandom,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,528.0,
furryartist,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,520.0,
artist,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,437.0,
happy,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,472.0,
drawing,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,454.0,
day,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,361.0,
cute,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,407.0,
gay,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,397.0,
draw,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,394.0,
fursuitfriday,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,390.0,
friend,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,203.0,
lol,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,216.0,
sketch,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,329.0,
artists,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,135.0,
friends,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,353.0,
people,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,319.0,
stuff,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,304.0,
friday,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,270.0,
dragon,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,269.0,
character,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,266.0,
furrynsfw,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,256.0,
ych,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,244.0,
artwork,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,244.0,
fun,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,239.0,
hope,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,235.0,
nsfwart,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,232.0,
game,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,231.0,
pokemon,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,220.0,
vtuber,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,211.0,
cat,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,386.0,
furryporn,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,198.0,
porn,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,214.0,
furrycommunity,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,162.0,
dog,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,196.0,
lot,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,196.0,
fox,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,195.0,
commissions,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,191.0,
gonna,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,163.0,
fanart,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,190.0,
ass,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,186.0,
vrchat,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,191.0,
characters,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,182.0,
sexy,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,179.0,
fursuiter,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,174.0,
atlyss,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,171.0,
ocart,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,171.0,
sex,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,169.0,
anthroart,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,163.0,
femboy,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,186.0,
goon,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,156.0,
furryartwork,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,198.0,
wanna,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,159.0,
feel,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,161.0,
twitter,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,129.0,
furryoc,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,156.0,
cum,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,153.0,
doodle,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,150.0,
lewd,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,150.0,
bit,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,149.0,
hot,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,147.0,
anime,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,146.0,
adopt,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,143.0,
ocs,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,142.0,
sona,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,141.0,
wip,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,141.0,
cats,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,139.0,
girl,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,138.0,
wolf,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,156.0,
animation,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,130.0,
design,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,129.0,
lil,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,116.0,
bear,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,104.0,
illustration,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,118.0,
sfw,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,128.0,
comic,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,128.0,
play,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,128.0,
originalcharacter,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,127.0,
black,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,127.0,
gooning,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,126.0,
life,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,124.0,
gooner,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,124.0,
pretty,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,123.0,
pussy,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,122.0,
mlp,furry,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,98.0,
