term,subculture,similarity,specificity,contextual_relevance,seed_closeness,subculture_relevance,uniqueness,normalized_specificity,normalized_similarity,normalized_contextual_relevance,normalized_seed_closeness,normalized_subculture_relevance,combined_score,cooccurrence_count,frequency
manga,weeb,0.008167737006164352,422935039775.995,0.0004738193944514782,0.2702803236371844,1.0,0.5,0.999999858083152,0.003300201895776048,0.013529569014168177,0.9953659432674932,1.0,0.8479835308164532,,
anime,weeb,0.017569243088920265,422935099797.61127,0.0014464662442860749,0.27153864914237846,1.0,0.5,1.0,0.009816698668196948,0.04241047118345363,1.0,1.0,0.8472314576818842,,
change change,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,180.0
change people,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,175.0
base chance,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,4533.0
change life,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,281.0
life changing,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,279.0
chance win,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,229.0
change time,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,224.0
stand chance,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,208.0
forge waifu,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,206.0
waifu aigirl,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,206.0
kung fu,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,184.0
favorite anime,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,184.0
changed mind,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,277.0
post anime,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,292.0
game changer,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,481.0
people change,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,349.0
chance blocks,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,4531.0
changed life,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,372.0
anime love,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,380.0
time change,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,379.0
hentaicommunity waifu,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,491.0
anime manga,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,351.0
waifu gooning,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,541.0
change mind,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,647.0
climate change,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,2072.0
gooner,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,610.0,
post,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,634.0,
nsfw,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1003.0,
hentai,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,826.0,
porn,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,758.0,
goon,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,677.0,
lewd,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,676.0,
sex,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,670.0,
time,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,616.0,
ass,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,632.0,
nsfwart,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,631.0,
nsfwbsky,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,630.0,
adult,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,624.0,
nsfwsky,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,620.0,
cum,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,614.0,
goonsky,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,606.0,
cute,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,388.0,
pussy,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,576.0,
lewdtuber,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,596.0,
watching,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,391.0,
forge,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,209.0,
nude,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,593.0,
boobs,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,591.0,
drink,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,389.0,
tits,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,571.0,
season,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,568.0,
gag,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,554.0,
bondage,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,551.0,
fanart,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,550.0,
games,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,544.0,
watch,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,533.0,
hentaicommunity,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,519.0,
read,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,513.0,
favorite,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,470.0,
drawing,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,397.0,
gooning,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,611.0,
girls,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,226.0,
hentaiart,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,600.0,
pretty,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,212.0,
lol,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,297.0,
series,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,368.0,
character,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,350.0,
game,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,346.0,
aiart,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,346.0,
digitalart,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,344.0,
color,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,339.0,
animeart,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,334.0,
video,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,331.0,
illustration,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,330.0,
day,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,321.0,
fantasy,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,318.0,
lot,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,309.0,
watched,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,301.0,
girl,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,372.0,
tags,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,275.0,
dandadan,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,266.0,
food,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,379.0,
people,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,376.0,
music,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,268.0,
aigirl,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,257.0,
stuff,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,255.0,
promosky,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,254.0,
characters,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,254.0,
reading,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,253.0,
life,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,250.0,
black,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,249.0,
aiartcommunity,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,238.0,
pokemon,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,233.0,
gaming,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,229.0,
comic,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,168.0,
feel,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,223.0,
happy,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,221.0,
stablediffusion,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,218.0,
