term,weeb_freq,non_weeb_freq,specificity,similarity,combined_score
anime,0.09772113742238688,0.0,20.700213537910347,0.0,14.490149476537242
manga,0.04498041824563833,0.0,19.924322898149626,0.0,13.947026028704737
waifu,0.013344716547998205,0.0,18.709216200767973,0.0,13.09645134053758
anime love,0.013266023598642726,0.0,18.70330180847971,0.0,13.092311265935797
post anime,0.011257747209308288,0.0,18.53915219231463,0.0,12.977406534620242
anime manga,0.009082255904957195,0.0,18.324418271406497,0.0,12.827092789984547
favorite anime,0.005768444893583217,0.0,17.870498196644636,0.0,12.509348737651244
hentaiart,0.005454434950700569,0.0,17.814524699472308,0.0,12.470167289630615
goonsky goon,0.005374781313687586,0.0,17.7998135569242,0.0,12.45986948984694
gooning gooner,0.005371890348008702,0.0,17.799275536263323,0.0,12.459492875384326
adult sex,0.005330551567678083,0.0,17.791550386158697,0.0,12.454085270311086
rule34 r34,0.005315499496171482,0.0,17.78872265573296,0.0,12.452105859013072
cum adult,0.005301652856006895,0.0,17.786114301384277,0.0,12.450280010968994
aigirl,0.003644576036745523,0.0,17.411335723441955,0.8323624134063721,12.437643730431278
hentai porn,0.005194577211054851,0.0,17.765710907628463,0.0,12.435997635339923
sex tits,0.005101655884370373,0.0,17.747660840801768,0.0,12.423362588561236
lewd nsfw,0.005100528818448961,0.0,17.747439894810938,0.0,12.423207926367656
waifu gooning,0.005096515861871101,0.0,17.746652812507755,0.0,12.422656968755428
nsfwart nsfwsky,0.0050949012169437344,0.0,17.74633594883773,0.0,12.422435164186409
pussy bondage,0.005088932137756154,0.0,17.74516368304232,0.0,12.421614578129624
nsfwsky goonsky,0.005087423880743234,0.0,17.744867259255344,0.0,12.42140708147874
nude ass,0.005072344614945021,0.0,17.741898830086818,0.0,12.419329181060771
lesbian goonette,0.005072344614945021,0.0,17.741898830086818,0.0,12.419329181060771
fucktoy,0.00506438409917639,0.0,17.740328201638025,0.0,12.418229741146616
porn lewd,0.005063223751018348,0.0,17.7400990560871,0.0,12.418069339260969
bondage gag,0.005056560789260661,0.0,17.738782237025923,0.0,12.417147565918146
orgasam lesbian,0.005056560789260661,0.0,17.738782237025923,0.0,12.417147565918146
orgasam,0.005056560789260661,0.0,17.738782237025923,0.0,12.417147565918146
hentaiart rule34,0.005053044747596237,0.0,17.738086652668294,0.0,12.416660656867805
gag nude,0.0050481506782709875,0.0,17.7371176446638,0.0,12.41598235126466
ass clit,0.005047755466357937,0.0,17.737039353146475,0.0,12.415927547202532
clit,0.005047755466357937,0.0,17.737039353146475,0.0,12.415927547202532
dildo rope,0.005047303804480436,0.0,17.736949871379853,0.0,12.415864909965896
rope bskyhentai,0.005038819296328956,0.0,17.735267458841413,0.0,12.414687221188988
bskyhentai,0.005038819296328956,0.0,17.735267458841413,0.0,12.414687221188988
fucktoy freeuse,0.005038819296328956,0.0,17.735267458841413,0.0,12.414687221188988
vibrator,0.005033312815171459,0.0,17.734174049514408,0.0,12.413921834660085
clit orgasam,0.005031949724505284,0.0,17.733903199024013,0.0,12.413732239316808
gooner hentaiart,0.0050314637953817205,0.0,17.733806625607183,0.0,12.413664637925027
goonette pet,0.005029818075193023,0.0,17.733479486343654,0.0,12.413435640440557
vibrator dildo,0.005023856350674349,0.0,17.732293506999916,0.0,12.412605454899941
pet fucktoy,0.005021838607753391,0.0,17.731891794044014,0.0,12.412324255830809
nsfw lewdtuber,0.005013579013947579,0.0,17.73024570499868,0.0,12.411171993499075
r34 cum,0.005010946777706937,0.0,17.7297205457436,0.0,12.410804382020519
freeuse vibrator,0.005007503078968984,0.0,17.72903307435749,0.0,12.41032315205024
lewdtuber nsfwbsky,0.004985418998088655,0.0,17.724613122671514,0.0,12.407229185870058
nsfwbsky nsfwart,0.004761610892594042,0.0,17.678681705764735,0.0,12.375077194035313
goon hentaicommunity,0.004718893784920726,0.0,17.66967007667727,0.0,12.36876905367409
hentaicommunity waifu,0.004718893784920726,0.0,17.66967007667727,0.0,12.36876905367409
weeb,0.004159678083009994,0.0,17.5435333623857,0.0,12.280473353669988
phonewallpaper,0.002770996909918253,0.0,17.13730283777624,0.8334179520606995,12.246137372061577
animeart,0.003770069061978239,0.0,17.445188997602283,0.0,12.211632298321598
watch anime,0.003758087121034428,0.0,17.442005761109325,0.0,12.209404032776527
like anime,0.0036731822428082038,0.0,17.41915406067149,0.0,12.193407842470043
animesky,0.0028611572247541116,0.0,17.16932185294264,0.565989077091217,12.188322020187213
anime art,0.003574388815858246,0.0,17.39188987986658,0.0,12.174322915906604
read manga,0.003560085477561406,0.0,17.38788023417418,0.0,12.171516163921925
quote anime,0.00351644792912525,0.0,17.375547048466814,0.0,12.162882933926769
art anime,0.0034572999615563433,0.0,17.35858360638282,0.0,12.151008524467972
manga anime,0.0034165260842797304,0.0,17.346719950233133,0.0,12.142703965163193
watching anime,0.003358571208079988,0.0,17.329611328579183,0.0,12.130727930005428
anime girl,0.0030808280691141557,0.0,17.243294097876447,0.0,12.070305868513513
aiartcommunity ai,0.003057355001905686,0.0,17.23564584737795,0.0,12.064952093164564
ai stablediffusion,0.0030113745286529776,0.0,17.22049231272934,0.0,12.054344618910537
stablediffusion forge,0.0030113745286529776,0.0,17.22049231272934,0.0,12.054344618910537
waifu aigirl,0.003008691222452719,0.0,17.219600858582574,0.0,12.0537206010078
otaku,0.003007517148258692,0.0,17.21921055489043,0.0,12.0534473884233
love anime,0.002872310045452173,0.0,17.173212285677437,0.0,12.021248599974205
phonewallpaper waifu,0.002770996909918253,0.0,17.13730283777624,0.0,11.996111986443367
forge phonewallpaper,0.0027573159566294998,0.0,17.132353414307506,0.0,11.992647390015254
mangaart,0.0017555765264291015,0.0,16.68089301597932,0.8868938684463501,11.942693271719428
tags food,0.0023426514648879674,0.0,16.969379086189033,0.0,11.878565360332322
anime girls,0.002325717774828136,0.0,16.96212440570698,0.0,11.873487083994885
repost anime,0.002279002593366514,0.0,16.941833583040612,0.0,11.859283508128428
lewd anime,0.002278065690482743,0.0,16.9414223963752,0.0,11.858995677462639
echi,0.0022107201517912517,0.0,16.91141401918012,0.0,11.837989813426084
boobs lewd,0.002199363408973962,0.0,16.906263655360448,0.0,11.834384558752312
echi henti,0.0021663619372773433,0.0,16.891144931127265,0.0,11.823801451789084
henti furry,0.0021663619372773433,0.0,16.891144931127265,0.0,11.823801451789084
